C-Channel,,am-0202,6
C-Base Chassis,Corner Connect,am-0212,8
C-Base Chassis,Gearbox Brace,am-0203,2
C-Base Chassis,Gearbox Bracket,am-0204,2
C-Base Chassis,"3/8-16 x 7"" screw",am-1055,4
C-Base Chassis,1.86 PVC Spacer,am-0243,4
C-Base Chassis,2.50 PVC Spacer,am-0244,4
C-Base Chassis,3/8-16 Nylock Nut,87922050 (MSC),4
C-Base Chassis,1/4-20 x 1.75 SHCS,71126155 (MSC),32
C-Base Chassis,1/4-20 x 5/8 SHCS,80263072 (MSC),40
C-Base Chassis,1/4-20 Nylock Nut,52591294 (MSC),8
C-Base Chassis,"1/4"" Washer",,8
"Wheel sprocket, 22-tooth","#35, #10 mntg holes in a 1.875"" D circle, 1.1"" bore",am-0245,4
Battery Connector Safety Plug,,AM-0122,5
Rover wheel (aka 2009 FIRST Slick Wheel),"6"" diameter, acetal tread, #10 mntg holes in a 1.875"" D circle",am-0210,4
Wheel bearings,"Double Shielded, ID: 0.375"", OD: 1.125"", Width: 0.375""",am-0209,8
Sprocket spacers,"#10 mntg holes in a 1.875"" D circle",am-0207,4
Mount Plate,,am-0155,2
Shaft Plate,,am-0261,2
Output shaft,,am-0153,2
Extrusion cover,,am-0260,2
Large Cluster Gear,,am-0149,2
Large Output Gear,,am-0150,2
Small Hex Shaft,,am-0152,2
Small Cluster Gear,,am-0151,2
"CIM Gear, 14 Tooth",,am-0034,4
Spacer,,Toughbox_d10,4
FR6ZZ bearing,,am-0028,6
FR8ZZ bearing,,am-0030,2
1/4-20 x 2 SHCS,,71126239 (MSC),8
1/4-20 nylock nut,,87922035 (MSC),8
"1/4"" washer",,2994887 (MSC),2
1/4-20 x 1/2 BHCS,,67563007 (MSC),2
"#10-32 x 1/2"" SHCS",,9362336 (MSC),8
2 x 2 x 14mm key,,am-0032,4
"1/8"" x 1/8"" x 0.40 machine key",,am-1018,2
"5/16"" clip",,am-0033,4
"1/2"" E-Klip",,am-0206,2
"5/16"" washer",,67491605 (MSC),8
"Camera, Axis 206","206 color camera, MJPEG, 16MB RAM, 4MB Flash, 4mm lens, F2.0",288635,1
"Radio, Driver Station","Simultaneous Dual-N Band Wireless Router, 2.4GHz & 5 GHz (includes adapter, ethernet",WRT610N,1
"Radio, Robot","Dual-Band Wireless-N Gaming Adapter (includes adapter, ethernet cable, etc)",WGA600N,1
Speed Controller (Jaguar),Stellaris Brushed DC motor,MDL-BDC,4
"Joystick, Attack 3","11 programmable buttons, USB, symmetrical handle",963291-0403,2
