1,1/4-20 x 5/8” SHCS,,am-1053,4,,2012kop2.jpg
2,1/4-20 x 1.75” SHCS,,am-1058,32,,2012kop1.jpg
3,1/4-20 nylock nut,,am-1015,36,,2012kop3.jpg
4,1/4” ID washer,,am-1027,4,,2012kop4.jpg
5,3/8-16 nylock nut,,am-1054,6,,2012kop5.jpg
6,3/8-16 x 7” hex head screw,,am-1055,6,,2012kop6.jpg
7,1860 x 375 Spacer,,am-0243,6,,2012kop7.jpg
8,2550 x 375 Spacer,,am-0244,6,,2012kop8.jpg
9,1/4-20 x 1” thread forming screw,,am-1182,4,,2012kop9.jpg
10,CIM Gear - 12 x 520,2/CIMple Box x 2 CIMple Boxes/FRC kit = 4 total,am-0741,4,,2012kop10.jpg
11,CIMple Box shaft plate,1/CIMple Box x 2 CIMple Boxes/FRC kit = 2 total,am-0738,2,,2012kop164.jpg
12,Gearbox Housing,1/CIMple Box x 2 CIMple Boxes/FRC kit = 2 total,am-0739,2,,2012kop11.jpg
13,Large Output Gear - 56 Tooth,1/CIMple Box x 2 CIMple Boxes/FRC kit = 2 total,am-0742,2,,2012kop12.jpg
14,"FR8ZZ bearing - 1/2"" id flanged, shielded ball",1/CIMple Box x 2 CIMple Boxes/FRC kit = 2 total,am-0030,2,,2012kop13.jpg
15,Output shaft,"1/CIMple Box x 2 CIMple Boxes/FRC kit = 2 total 1/2” D w/ 1/8"" keyway, 4140 stee",am-0740,2,,2012kop14.jpg
16,"R6ZZ bearing, 3/8” ID, shielded",1/CIMple Box x 2 CIMple Boxes/FRC kit = 2 total,am-0516,2,,2012kop15.jpg
17,1/4” washer,1/CIMple Box x 2 CIMple Boxes = 2 total,am-1027,2,,2012kop16.jpg
18,#10-32 Nylock Nut,4/CIMple Box x 2 CIMple Boxes/FRC kit = 8 total,am-1042,8,,2012kop17.jpg
19,#10-32 x 5/8” SHCS w/ nylon thread lock patch,8/CIMple Box x 2 CIMple Boxes/FRC kit = 16 total,am-1120,16,,2012kop18.jpg
20,1/4-20 x 1/2 BHCS,1/CIMple Box x 2 CIMple Boxes/FRC kit = 2 total,am-1039,2,,2012kop19.jpg
21,1/8” x 1/8” x 0.7 machine key,1/CIMple Box x 2 CIMple Boxes/FRC kit = 2 total,am-1043,2,,2012kop20.jpg
22,2 x 2 x 10mm key,2/CIMple Box x 2 CIMple Boxes/FRC kit = 4 total,am-1121,4,,2012kop21.jpg
23,8mm Ring,2/CIMple Box x 2 CIMple Boxes/FRC kit = 4 total,am-0033,4,,2012kop22.jpg
24,#10-24 x 3/4” thread forming screw,,am-1123,24,,2012kop23.jpg
25,188 x 500 Spacer,,am-1181,2,,2012kop24.jpg
26,#35 Connecting Link,,am-0368,4,,2012kop25.jpg
27,S35-12 DHE Sprocket,"35 pitch, 12 tooth double sprocket, aluminum",am-0736,2,,2012kop26.jpg
28,S35-26LE Sprocket,"35 pitch, 26 tooth sprocket, aluminum",am-0737,4,,2012kop27.jpg
29,"Shoulder Washer, 1/2” ID",,am-0947,2,,2012kop28.jpg
30,C-Channel,,am-0202,6,,2012kop29.jpg
31,"Chain, #35, ANSI",10’ length,am-0367,1,,2012kop30.jpg
32,Corner Connect,,am-0212,8,,2012kop31.jpg
33,"Cross hex tube, 500",,am-0756,2,,2012kop32.jpg
34,User Guide,,N/A,1,,2012kop33.jpg
35,"1614ZZ, Wheel bearings","Double Shielded, ID: 0.375”, OD: 1.125”, Width: 0.375”",am-0209,12,,2012kop34.jpg
36,6” HiGrip FIRST Wheel,6” Diameter,am-0940,6,,2012kop35.jpg
37,Battery Plug,,AM-0122,4,,2012kop36.jpg
38,2.5” CIM Motor,"12V DC, 2.5” diameter - Note keyway location is different than past year’s motor",AM802-001A,2,,2012kop37.jpg
39,9015 Motor,,am-0912,1,,2012kop38.jpg
40,PG71 Gearmotor,,am-0914,1,,2012kop39.jpg
41,20Amp circuit breaker,auto-reset,VB3-A20-F57,5,,2012kop40.jpg
42,30Amp circuit breaker,auto-reset,VB3-A30-F57,2,,2012kop41.jpg
43,40Amp circuit breaker,auto-reset,MX5-A40,4,,2012kop42.jpg
44,Graduating Senior Envelope,Blue,N/A,1,,2012kop43.jpg
45,Scholarship Program Envelope,Scholarship Information,N/A,1,,2012kop44.jpg
46,Bag & Tag Seals,"Red plastic, numbered",9001-16,6,,2012kop45.jpg
47,Quick-Disconnect Battery Connector,"#6 wire pair, red & black, 12” tail SB-50A Power Pole Connector",N/A,3,,2012kop46.jpg
48,Autodesk Envelope,Information about Autodesk software donation to teams,N/A,1,,2012kop47.jpg
49,Crossover Ethernet Cable,5ft CAT5E 350 MHz Cross Over UTP Snagless Patch Cable,078-505,1,,2012kop48.jpg
50,Terminal blocks,12 pole w/ wire protector,BM-M092CS,2,,2012kop49.jpg
51,"Wire, 10AWG, Black, 10’",10’ length,N/A,1,,2012kop50.jpg
52,"Wire, 10AWG, White, 10’",10’ length,N/A,1,,2012kop51.jpg
53,"Wire, 14AWG, Black, 10’",10’ length,N/A,1,,2012kop52.jpg
54,"Wire, 14AWG, Red, 10’",10’ length,N/A,1,,2012kop53.jpg
55,"Wire, 18AWG, Black, 10’",10’ length,N/A,1,,2012kop54.jpg
56,"Wire, 18AWG, Red, 10’",10’ length,N/A,1,,2012kop55.jpg
57,Product Donation Voucher - ARA,For free motors at ARA Member Locations See PDV for details,N/A,1,,2012kop56.jpg
58,Terminal Lug (bag of 8),"6-14 ga solderless lug, mechanical",KPA4CUNPL,1,,2012kop57.jpg
59,Terminal Lug (bag of 8),"6-14 ga solderless lug, compression, copper",YAZV6CTC14FX,1,,2012kop58.jpg
